id,title,description,event_date,image,status,categories,created_at,updated_at
1,Tech Conference 2026,Annual technology conference,2026-03-15 09:00:00,tech_conf.jpg,published,Technology|Culture,2026-01-01 10:00:00,2026-01-01 10:00:00
2,Music Festival,Live music from top artists,2026-06-20 18:00:00,music_fest.jpg,draft,Entertainment|Culture,2026-01-02 11:30:00,2026-01-02 11:30:00
3,Art Exhibition,Modern art showcase,2026-04-10 10:00:00,art_exhibit.jpg,published,Technology|Entertainment,2026-01-03 14:15:00,2026-01-03 14:15:00
4,Startup Summit,Networking for startups,2026-05-05 09:00:00,startup.jpg,published,Technology,2026-01-04 09:00:00,2026-01-04 09:00:00
5,Food Carnival,Taste global cuisines,2026-07-12 11:00:00,food.jpg,published,Culture,2026-01-05 10:00:00,2026-01-05 10:00:00
6,Marathon 2026,City-wide marathon,2026-08-01 06:00:00,marathon.jpg,published,Culture,2026-01-06 08:00:00,2026-01-06 08:00:00
7,Book Fair,Books from all genres,2026-09-10 10:00:00,book_fair.jpg,published,Culture,2026-01-07 09:30:00,2026-01-07 09:30:00
8,Gaming Expo,Latest in gaming tech,2026-10-05 10:00:00,gaming.jpg,draft,Technology|Entertainment,2026-01-08 11:00:00,2026-01-08 11:00:00
9,Jazz Night,Smooth jazz evening,2026-11-20 19:00:00,jazz.jpg,published,Entertainment,2026-01-09 15:00:00,2026-01-09 15:00:00
10,Science Fair,Innovative projects by students,2026-12-15 09:00:00,science.jpg,published,Technology,2026-01-10 10:00:00,2026-01-10 10:00:00
11,New Year Bash,Celebrate the new year,2026-12-31 20:00:00,new_year.jpg,published,Entertainment|Culture,2026-01-11 12:00:00,2026-01-11 12:00:00
12,Winter Workshop,Creative winter crafts,2027-01-15 10:00:00,winter_workshop.jpg,draft,Culture,2026-01-12 13:00:00,2026-01-12 13:00:00
13,Spring Fling,Celebrate spring arrival,2027-03-20 11:00:00,spring.jpg,published,Entertainment,2026-01-13 14:00:00,2026-01-13 14:00:00
14,Summer Camp,Fun activities for kids,2026-07-01 08:00:00,camp.jpg,published,Culture,2026-01-14 09:00:00,2026-01-14 09:00:00
15,Film Festival,Indie movies screening,2026-08-15 16:00:00,film.jpg,published,Entertainment|Culture,2026-01-15 10:30:00,2026-01-15 10:30:00
16,Photography Workshop,Learn photography skills,2026-09-05 09:30:00,photo.jpg,draft,Culture,2026-01-16 11:00:00,2026-01-16 11:00:00
17,Charity Run,Run for a cause,2026-10-12 07:00:00,charity.jpg,published,Culture,2026-01-17 08:45:00,2026-01-17 08:45:00
18,Halloween Party,Spooky fun night,2026-10-31 20:00:00,halloween.jpg,published,Entertainment,2026-01-18 16:00:00,2026-01-18 16:00:00
19,Thanksgiving Dinner,Community dinner,2026-11-26 18:00:00,thanksgiving.jpg,published,Culture,2026-01-19 12:00:00,2026-01-19 12:00:00
20,Christmas Market,Festive holiday market,2026-12-20 10:00:00,xmas_market.jpg,published,Culture,2026-01-20 09:00:00,2026-01-20 09:00:00
21,Coding Bootcamp,Intensive coding session,2027-02-10 09:00:00,coding.jpg,published,Technology,2026-01-21 10:00:00,2026-01-21 10:00:00
22,Yoga Retreat,Relax and rejuvenate,2027-04-05 08:00:00,yoga.jpg,published,Culture,2026-01-22 11:00:00,2026-01-22 11:00:00
23,Pet Adoption Fair,Adopt a furry friend,2027-05-15 10:00:00,pets.jpg,published,Culture,2026-01-23 13:00:00,2026-01-23 13:00:00
